"objective","budget","package.deaths","package.che.10","package.che.25","package.deaths.LB","package.che.10.LB","package.deaths.UB","package.che.10.UB","package.deaths.npv","package.E","package.E.LB","package.E.UB"
"che.10",53105263.1578947,3780,0.143074655657961,0.10308079926986,2344,0.12610662988121,5372,0.164451605610855,3538,0.122728429147067,-0.457062759999744,0.517265401994585
"che.25",53105263.1578947,3263,0.142865102254087,0.103187855754549,2159,0.125986661613569,4528,0.164135695506989,3021,0.169449825483813,-0.426436396733211,0.48693004141164
"delta.deaths.LB",53105263.1578947,5479,0.0749122578025203,0.054098228324185,3336,0.0579838291193022,7829,0.096246765514193,5036,0.0163567406912144,-0.838145740519681,0.730956736770413
"che.10.LB",53105263.1578947,3780,0.143074655657961,0.10308079926986,2344,0.12610662988121,5372,0.164451605610855,3538,0.122728429147067,-0.457062759999744,0.517265401994585
"delta.deaths.UB",53105263.1578947,5546,0.0217314431329325,0.011141942553806,3320,0.0187152319229182,7969,0.0250274170395744,5103,0.0795822522745049,-0.745079637341232,0.732337754332708
"che.10.UB",53105263.1578947,3780,0.143074655657961,0.10308079926986,2344,0.12610662988121,5372,0.164451605610855,3538,0.122728429147067,-0.457062759999744,0.517265401994585
"delta.deaths.npv",53105263.1578947,5546,0.0217314431329325,0.011141942553806,3320,0.0187152319229182,7969,0.0250274170395744,5103,0.0795822522745049,-0.745079637341232,0.732337754332708
"E",53105263.1578947,3696,0.0762715733340017,0.0542917601333754,2292,0.0595455241867032,5257,0.0973506007836178,3450,0.327371756779101,-0.442865396107757,0.544566670214735
"E.LB",53105263.1578947,742,0.00522630794184067,0.00179732738001508,452,0.0049422767161079,1077,0.00558665275771182,655,0.112901439099853,0.0231523551615973,0.127873665844092
"E.UB",53105263.1578947,5546,0.0217314431329325,0.011141942553806,3320,0.0187152319229182,7969,0.0250274170395744,5103,0.0795822522745049,-0.745079637341232,0.732337754332708
"delta.deaths",58315789.4736842,5546,0.0217314431329325,0.011141942553806,3320,0.0187152319229182,7969,0.0250274170395744,5103,0.0795822522745049,-0.745079637341232,0.732337754332708
"che.10",58315789.4736842,3095,0.144806045354959,0.10330432750364,2096,0.12793935446898,4232,0.16608019893679,2984,0.208974292257075,-0.36922858273662,0.460712615069932
"che.25",58315789.4736842,3095,0.144806045354959,0.10330432750364,2096,0.12793935446898,4232,0.16608019893679,2984,0.208974292257075,-0.36922858273662,0.460712615069932
"delta.deaths.LB",58315789.4736842,5291,0.0765113596477121,0.0539463131839848,3340,0.0596906793980875,7510,0.0977255629848234,4910,0.137364997282447,-0.553193857501396,0.69177787380778
"che.10.LB",58315789.4736842,3095,0.144806045354959,0.10330432750364,2096,0.12793935446898,4232,0.16608019893679,2984,0.208974292257075,-0.36922858273662,0.460712615069932
"delta.deaths.UB",58315789.4736842,5546,0.0217314431329325,0.011141942553806,3320,0.0187152319229182,7969,0.0250274170395744,5103,0.0795822522745049,-0.745079637341232,0.732337754332708
"che.10.UB",58315789.4736842,3095,0.144806045354959,0.10330432750364,2096,0.12793935446898,4232,0.16608019893679,2984,0.208974292257075,-0.36922858273662,0.460712615069932
"delta.deaths.npv",58315789.4736842,5546,0.0217314431329325,0.011141942553806,3320,0.0187152319229182,7969,0.0250274170395744,5103,0.0795822522745049,-0.745079637341232,0.732337754332708
"E",58315789.4736842,4405,0.0785199982170973,0.0555773416508422,2810,0.0615002072532224,6186,0.099955474077459,4006,0.338304174404335,-0.50538871033868,0.579449656886082
"E.LB",58315789.4736842,742,0.00522630794184067,0.00179732738001508,452,0.0049422767161079,1077,0.00558665275771182,655,0.112901439099853,0.0231523551615973,0.127873665844092
"E.UB",58315789.4736842,4928,0.0770822606666048,0.0543753704413034,2932,0.0601732753136115,7070,0.0984172768090125,4638,0.188689359785029,-0.626616116682242,0.751640691857138
"delta.deaths",63526315.7894737,5644,0.0795993679547907,0.0557517274501908,3451,0.062387208758984,8018,0.101294012416933,5245,0.19512457181246,-0.701731344760014,0.745919930793409
"che.10",63526315.7894737,3745,0.147497143447687,0.104590639203466,2345,0.130245189621033,5278,0.169234221296595,3634,0.168357769965279,-0.43764186164419,0.525080197077959
"che.25",63526315.7894737,3305,0.147399936585996,0.104726902743178,2238,0.130247572952687,4447,0.169023600047842,3107,0.231001502978092,-0.29547732574171,0.460351238922104
"delta.deaths.LB",63526315.7894737,5630,0.0773856275392522,0.0544661659948413,3466,0.0604626425997087,8016,0.0987296689545519,5187,0.1868922104458,-0.691924713522968,0.773185631549521
"che.10.LB",63526315.7894737,3305,0.147399936585996,0.104726902743178,2238,0.130247572952687,4447,0.169023600047842,3107,0.231001502978092,-0.29547732574171,0.460351238922104
"delta.deaths.UB",63526315.7894737,5634,0.0899158853812672,0.060029322909362,3382,0.0868320412355516,8090,0.0933015345341216,5163,0.0651127711951876,-0.743454085350335,0.755517133994041
"che.10.UB",63526315.7894737,3745,0.147497143447687,0.104590639203466,2345,0.130245189621033,5278,0.169234221296595,3634,0.168357769965279,-0.43764186164419,0.525080197077959
"delta.deaths.npv",63526315.7894737,5644,0.0795993679547907,0.0557517274501908,3451,0.062387208758984,8018,0.101294012416933,5245,0.19512457181246,-0.701731344760014,0.745919930793409
"E",63526315.7894737,4425,0.078787781425314,0.0556851483536947,2817,0.0617614940903973,6224,0.100229022594972,4027,0.340523566930801,-0.519264350882428,0.595978473858056
"E.LB",63526315.7894737,742,0.00522630794184067,0.00179732738001508,452,0.0049422767161079,1077,0.00558665275771182,655,0.112901439099853,0.0231523551615973,0.127873665844092
"E.UB",63526315.7894737,4809,0.0765892916794874,0.0530186619468279,2798,0.0599741169421573,6956,0.0977408969709953,4569,0.0881139909509359,-0.702196185890932,0.792508731031921
"delta.deaths",68736842.1052632,5882,0.0797366662008528,0.0557518119941517,3598,0.062524254291248,8402,0.101431509873941,5439,0.0934486907261586,-0.823911435691227,0.821185519838756
"che.10",68736842.1052632,4183,0.147899064056294,0.104734382939827,2606,0.130647055053156,5945,0.169636349970603,3941,0.199820379182011,-0.44282845517129,0.607494185062928
"che.25",68736842.1052632,3666,0.147689510652419,0.104841439424515,2421,0.130527086785515,5101,0.169320439866736,3424,0.246541775518758,-0.412202091904758,0.577158824479983
"delta.deaths.LB",68736842.1052632,5882,0.0797366662008528,0.0557518119941517,3598,0.062524254291248,8402,0.101431509873941,5439,0.0934486907261586,-0.823911435691227,0.821185519838756
"che.10.LB",68736842.1052632,4183,0.147899064056294,0.104734382939827,2606,0.130647055053156,5945,0.169636349970603,3941,0.199820379182011,-0.44282845517129,0.607494185062928
"delta.deaths.UB",68736842.1052632,5882,0.0797366662008528,0.0557518119941517,3598,0.062524254291248,8402,0.101431509873941,5439,0.0934486907261586,-0.823911435691227,0.821185519838756
"che.10.UB",68736842.1052632,4183,0.147899064056294,0.104734382939827,2606,0.130647055053156,5945,0.169636349970603,3941,0.199820379182011,-0.44282845517129,0.607494185062928
"delta.deaths.npv",68736842.1052632,5882,0.0797366662008528,0.0557518119941517,3598,0.062524254291248,8402,0.101431509873941,5439,0.0934486907261586,-0.823911435691227,0.821185519838756
"E",68736842.1052632,4425,0.078787781425314,0.0556851483536947,2817,0.0617614940903973,6224,0.100229022594972,4027,0.340523566930801,-0.519264350882428,0.595978473858056
"E.LB",68736842.1052632,742,0.00522630794184067,0.00179732738001508,452,0.0049422767161079,1077,0.00558665275771182,655,0.112901439099853,0.0231523551615973,0.127873665844092
"E.UB",68736842.1052632,5882,0.0797366662008528,0.0557518119941517,3598,0.062524254291248,8402,0.101431509873941,5439,0.0934486907261586,-0.823911435691227,0.821185519838756
"delta.deaths",73947368.4210526,5902,0.0800044494090694,0.0558596186970043,3605,0.062785541128423,8440,0.101705058391453,5459,0.095668083252625,-0.837787076234975,0.83771433681073
"che.10",73947368.4210526,4342,0.148304124445474,0.104842274160328,2688,0.131045373534634,6205,0.170047175669079,4100,0.104710770470353,-0.564779542786007,0.654519485871029
"che.25",73947368.4210526,4544,0.148191796723201,0.104854090438208,2742,0.130919486948995,6600,0.169962347085664,4255,0.215338440026568,-0.478657093483333,0.677128580841812
